Angle, Intensity
0.771,6712
0.773,6153
0.775,6451
0.777,7200
0.779,7103
0.781,6664
0.783,6144
0.785,6464
0.787,6923
0.789,7223
0.791,6607
0.793,5779
0.795,5791
0.797,6593
0.799,6796
0.801,6409
0.803,5583
0.805,5459
0.807,6171
0.809,6476
0.811,6116
0.813,5420
0.815,5383
0.817,5822
0.819,6429
0.821,6133
0.823,5408
0.825,4935
0.827,5473
0.829,6191
0.831,6136
0.833,5446
0.835,4888
0.837,5405
0.839,5829
0.841,5960
0.843,5211
0.845,4761
0.847,4919
0.849,5574
0.851,5622
0.853,5205
0.855,4710
0.857,4644
0.859,5136
0.861,5515
0.863,5190
0.865,4478
0.867,4269
0.869,4808
0.871,5214
0.873,5060
0.875,4424
0.877,4143
0.879,4437
0.881,5226
0.883,5118
0.885,4418
0.887,4225
0.889,4394
0.891,5171
0.893,5271
0.895,4736
0.897,4193
0.899,4261
0.901,4846
0.903,4955
0.905,4550
0.907,3952
0.909,4053
0.911,4499
0.913,4911
0.915,4697
0.917,4044
0.919,4021
0.921,4475
0.923,4764
0.925,4528
0.927,3786
0.929,3614
0.931,4184
0.933,4620
0.935,4540
0.937,3994
0.939,3633
0.941,3947
0.943,4585
0.945,4338
0.947,4011
0.949,3399
0.951,3753
0.953,4345
0.955,4487
0.957,4059
0.959,3548
0.961,3717
0.963,4315
0.965,4548
0.967,4220
0.969,3620
0.971,3574
0.973,4164
0.975,4663
0.977,4339
0.979,3613
0.981,3393
0.983,3593
0.985,4215
0.987,4205
0.989,3712
0.991,3377
0.993,3532
0.995,4169
0.997,4422
0.999,4029
1.001,3300
1.003,3295
1.005,3772
1.007,4159
1.009,4078
1.011,3537
1.013,3221
1.015,3687
1.017,4315
1.019,4234
1.021,3535
1.023,3181
1.025,3284
1.027,3955
1.029,4293
1.031,3865
1.033,3282
1.035,3235
1.037,3765
1.039,4126
1.041,4039
1.043,3314
1.045,3031
1.047,3424
1.049,4054
1.051,3995
1.053,3478
1.055,3020
1.057,2908
1.059,3555
1.061,3804
1.063,3637
1.065,3066
1.067,3189
1.069,3808
1.071,4203
1.073,4078
1.075,3433
1.077,3237
1.079,3505
1.081,4157
1.083,4329
1.085,3711
1.087,3336
1.089,3814
1.091,4682
1.093,5105
1.095,4466
1.097,3783
1.099,3486
1.101,3978
1.103,4623
1.105,4211
1.107,3466
1.109,3106
1.111,3366
1.113,4203
1.115,4311
1.117,3674
1.119,3217
1.121,3428
1.123,4263
1.125,4582
1.127,4060
1.129,3443
1.131,3507
1.133,4250
1.135,4974
1.137,4676
1.139,3576
1.141,3269
1.143,3590
1.145,4322
1.147,4301
1.149,3637
1.151,3224
1.153,3737
1.155,4608
1.157,4883
1.159,4435
1.161,3668
1.163,3622
1.165,4482
1.167,5060
1.169,4492
1.171,3647
1.173,3314
1.175,3938
1.177,4725
1.179,4711
1.181,3799
1.183,3170
1.185,3485
1.187,4419
1.189,4720
1.191,4089
1.193,3847
1.195,4421
1.197,5563
1.199,5966
1.201,5076
1.203,4069
1.205,4070
1.207,4914
1.209,5889
1.211,5444
1.213,4219
1.215,3623
1.217,4279
1.219,5557
1.221,5592
1.223,4768
1.225,4067
1.227,4728
1.229,5889
1.231,6609
1.233,5998
1.235,4499
1.237,4109
1.239,5040
1.241,6171
1.243,5871
1.245,4676
1.247,3980
1.249,4902
1.251,6534
1.253,7035
1.255,6051
1.257,4425
1.259,4048
1.261,5284
1.263,6052
1.265,5947
1.267,4956
1.269,4812
1.271,6536
1.273,8599
1.275,9232
1.277,7845
1.279,6207
1.281,7306
1.283,10118
1.285,11881
1.287,10761
1.289,8442
1.291,7351
1.293,8931
1.295,11232
1.297,11604
1.299,9321
1.301,7013
1.303,7499
1.305,9620
1.307,11087
1.309,9995
1.311,8402
1.313,9211
1.315,13208
1.317,16693
1.319,16673
1.321,12987
1.323,9906
1.325,11158
1.327,14863
1.329,16983
1.331,14584
1.333,11715
1.335,12494
1.337,17800
1.339,22470
1.341,22271
1.343,17226
1.345,13974
1.347,17023
1.349,23374
1.351,26178
1.353,22344
1.355,17448
1.357,18342
1.359,26253
1.361,33305
1.363,32743
1.365,25476
1.367,21995
1.369,28678
1.371,40023
1.373,44740
1.375,38061
1.377,29636
1.379,32210
1.381,45284
1.383,57682
1.385,56093
1.387,44654
1.389,40542
1.391,55559
1.393,78388
1.395,88995
1.397,77141
1.399,60043
1.401,63453
1.403,92983
1.405,121876
1.407,123407
1.409,99458
1.411,87977
1.413,118560
1.415,176142
1.417,211937
1.419,192934
1.421,151779
1.423,151969
1.425,225909
1.427,323516
1.429,365154
1.431,323199
1.433,269483
1.435,315085
1.437,483443
1.439,675216
1.441,757113
1.443,698809
1.445,632488
1.447,754831
1.449,1025796
1.451,1435180
1.453,1723603
1.455,1757913
1.457,1632572
1.459,1504311
1.461,1521320
1.463,1759154
1.465,2107072
1.467,2353228
1.469,2447325
1.471,2351768
1.473,2107510
1.475,1812955
1.477,1474965
1.479,1162233
1.481,910748
1.483,803528
1.485,701093
1.487,638119
1.489,554938
1.491,439376
1.493,303470
1.495,180001
1.497,96045
1.499,53515
1.501,39604
1.503,36518
1.505,32388
1.507,25891
1.509,19021
1.511,14274
1.513,10969
1.515,8307
1.517,6390
1.519,6179
1.521,7759
1.523,8936
1.525,8998
1.527,7960
1.529,6357
1.531,5698
1.533,5284
1.535,5063
1.537,4464
1.539,4310
